date,open,high,low,close,volume
2023-12-18,0.3571,16.3799,0.3571,13.876,46424899.1
2023-12-19,13.8882,15.0797,12.423,13.2906,13313060.9
2023-12-20,13.2941,13.7669,12.0155,13.3745,9266862.7
2023-12-21,13.3733,17.25,12.6263,15.3897,17139087.5
2023-12-22,15.3895,16.47,12.4088,13.2577,10870081.9
2023-12-23,13.264,14.0319,12.53,13.3167,6178636.4
2023-12-24,13.3166,13.5449,12.1,12.6691,4246249.3
2023-12-25,12.6759,14.2576,12.4904,13.7062,5366979.2
2023-12-26,13.7049,14.2748,10.2606,11.71,6435963.0
2023-12-27,11.7253,11.9941,10.68,11.1565,4803989.4
2023-12-28,11.1615,11.4142,10.3,10.7249,4731104.4
2023-12-29,10.7263,11.2199,10.0321,11.1247,3846949.7
2023-12-30,11.1225,11.2632,10.1736,10.3161,2315875.5
2023-12-31,10.316,10.7007,8.5,9.3278,2993759.3
2024-01-01,9.3305,9.659,8.9344,9.5261,3478944.3
2024-01-02,9.5216,11.3547,9.2997,9.7918,6644616.9
2024-01-03,9.7874,10.0753,7.3,8.3435,6245151.9
2024-01-04,8.3442,9.1,7.7914,8.6944,4113708.5
2024-01-05,8.6944,8.9319,7.81,8.3136,3635886.9
2024-01-06,8.3096,9.76,7.5001,9.0342,7004257.7
2024-01-07,9.0384,10.1947,8.2333,8.4192,6657766.8
2024-01-08,8.4217,8.592,7.5125,8.3895,3589874.7
2024-01-09,8.3901,8.5455,7.1,7.5504,3704044.7
2024-01-10,7.543,8.2709,7.05,8.1489,3142341.7
2024-01-11,8.15,9.0998,7.9874,8.8358,4348993.7
2024-01-12,8.8302,9.3743,8.17,9.3389,3603958.1
2024-01-13,9.346,9.5717,8.3167,8.8386,3186658.6
2024-01-14,8.8403,10.0969,8.7083,9.315,6054753.4
2024-01-15,9.3,10.6528,9.1767,10.0389,5264070.8
2024-01-16,10.0368,10.2448,9.2,9.4519,3307979.8
2024-01-17,9.4495,9.7189,8.7227,8.9258,2471210.3
2024-01-18,8.9258,8.9335,8.0,8.1407,2358390.9
2024-01-19,8.1343,8.2971,7.3571,8.1367,2441315.9
2024-01-20,8.1343,8.6241,7.8901,8.3501,1734036.8
2024-01-21,8.3519,8.77,8.212,8.2744,1553339.8
2024-01-22,8.2728,8.3264,7.7381,8.0147,1964908.6
2024-01-23,8.014,8.637,7.1865,7.8179,4365878.0
2024-01-24,7.8179,9.284,7.61,9.1925,8003777.8
2024-01-25,9.1939,9.5497,8.701,8.8635,5056271.9
2024-01-26,8.8574,9.7567,8.809,9.5378,3538825.7
2024-01-27,9.5378,9.8963,9.2893,9.4686,2927196.1
2024-01-28,9.4683,9.68,9.0701,9.2122,2387434.3
2024-01-29,9.2135,9.6706,9.1181,9.4118,1969837.7
2024-01-30,9.4142,9.8168,9.1773,9.2578,2333865.8
2024-01-31,9.2522,9.65,9.0275,9.4727,2844272.6
2024-02-01,9.473,9.6565,9.115,9.416,2712804.1
2024-02-02,9.4199,9.69,9.25,9.3445,1791834.2
2024-02-03,9.3476,9.55,9.1,9.1661,912377.1
2024-02-04,9.1645,9.1904,8.0353,8.277,2684146.2
2024-02-05,8.277,8.4684,7.9949,8.3138,1369661.9
2024-02-06,8.3131,8.6724,8.2343,8.3101,1093414.6
2024-02-07,8.3101,8.5824,8.158,8.4752,770077.8
2024-02-08,8.478,8.6066,8.2813,8.3136,956096.2
2024-02-09,8.3123,8.614,8.2407,8.5569,1343362.9
2024-02-10,8.5616,8.931,8.3801,8.6588,1050842.3
2024-02-11,8.6588,9.544,8.613,9.2854,2497468.5
2024-02-12,9.2846,9.54,8.801,9.4218,2120052.2
2024-02-13,9.42,9.7729,8.854,9.2888,2233744.0
